origem,destino
0,14
0,18
0,21
0,24
0,41
0,58
0,60
0,62
0,73
0,74
0,92
0,125
0,152
0,155
0,211
0,230
0,234
0,243
0,250
0,252
0,257
0,265
0,268
0,270
0,272
0,291
0,299
0,324
0,339
0,353
0,354
0,382
0,406
0,408
0,423
0,443
0,447
0,454
0,459
0,467
0,468
0,482
0,484
0,491
0,502
0,507
0,508
0,509
0,526
0,533
0,544
0,563
0,575
0,576
0,594
0,599
0,609
0,612
0,627
0,630
0,637
0,642
0,669
0,671
0,679
0,683
0,696
0,702
0,723
0,727
0,729
0,732
0,749
0,789
0,793
0,811
0,812
0,824
0,828
0,850
0,869
0,877
0,882
0,930
0,933
0,938
0,945
0,955
0,963
0,978
0,997
1,3
1,5
1,7
1,20
1,21
1,53
1,54
1,60
1,61
1,62
1,75
1,82
1,98
1,120
1,136
1,139
1,159
1,164
1,200
1,214
1,227
1,254
1,264
1,274
1,287
1,299
1,312
1,313
1,330
1,340
1,344
1,366
1,399
1,411
1,415
1,429
1,432
1,438
1,459
1,460
1,467
1,470
1,477
1,478
1,485
1,499
1,503
1,515
1,518
1,544
1,561
1,567
1,572
1,574
1,591
1,600
1,618
1,625
1,626
1,630
1,635
1,639
1,665
1,683
1,691
1,693
1,694
1,699
1,722
1,725
1,738
1,740
1,758
1,767
1,774
1,786
1,796
1,821
1,830
1,832
1,854
1,861
1,866
1,868
1,883
1,894
1,902
1,927
1,938
1,954
1,961
1,971
1,978
1,984
1,985
1,991
1,996
2,3
2,20
2,22
2,46
2,49
2,69
2,71
2,72
2,73
2,95
2,111
2,115
2,138
2,166
2,171
2,179
2,194
2,200
2,212
2,227
2,249
2,251
2,263
2,270
2,272
2,277
2,280
2,286
2,288
2,300
2,301
2,302
2,314
2,317
2,322
2,338
2,345
2,353
2,355
2,356
2,358
2,367
2,373
2,389
2,403
2,407
2,408
2,416
2,434
2,455
2,458
2,460
2,462
2,463
2,465
2,467
2,468
2,498
2,509
2,520
2,523
2,524
2,525
2,526
2,533
2,540
2,558
2,587
2,594
2,596
2,603
2,605
2,616
2,621
2,653
2,656
2,666
2,694
2,700
2,718
2,719
2,721
2,739
2,742
2,772
2,787
2,795
2,797
2,799
2,805
2,841
2,850
2,857
2,863
2,866
2,872
2,893
2,901
2,907
2,915
2,918
2,928
2,929
2,939
2,942
2,952
2,953
2,960
2,973
2,981
2,982
2,987
2,994
2,995
2,998
3,39
3,45
3,66
3,70
3,74
3,82
3,118
3,129
3,131
3,133
3,139
3,143
3,163
3,165
3,182
3,187
3,200
3,215
3,230
3,233
3,234
3,251
3,264
3,272
3,288
3,291
3,294
3,295
3,311
3,321
3,343
3,348
3,355
3,374
3,384
3,390
3,402
3,422
3,435
3,440
3,463
3,513
3,523
3,532
3,540
3,541
3,542
3,554
3,565
3,582
3,600
3,611
3,614
3,615
3,619
3,622
3,658
3,662
3,664
3,666
3,673
3,676
3,678
3,703
3,707
3,722
3,739
3,742
3,758
3,766
3,772
3,793
3,805
3,809
3,821
3,840
3,846
3,848
3,851
3,856
3,865
3,870
3,880
3,893
3,896
3,897
3,898
3,905
3,911
3,917
3,925
3,932
3,939
3,976
3,986
3,988
4,16
4,26
4,27
4,71
4,78
4,80
4,92
4,118
4,121
4,123
4,143
4,151
4,153
4,159
4,170
4,185
4,203
4,206
4,209
4,210
4,222
4,249
4,254
4,267
4,268
4,272
4,273
4,283
4,300
4,302
4,303
4,309
4,311
4,314
4,318
4,353
4,354
4,362
4,373
4,381
4,404
4,413
4,435
4,448
4,450
4,453
4,456
4,458
4,467
4,470
4,471
4,483
4,501
4,510
4,519
4,527
4,535
4,553
4,559
4,571
4,644
4,646
4,653
4,654
4,656
4,687
4,698
4,715
4,754
4,766
4,769
4,776
4,781
4,783
4,786
4,790
4,798
4,799
4,802
4,803
4,817
4,820
4,823
4,827
4,837
4,886
4,905
4,932
4,942
4,944
4,945
4,951
4,968
4,982
4,987
4,998
5,7
5,14
5,21
5,38
5,40
5,53
5,80
5,86
5,93
5,106
5,112
5,115
5,118
5,127
5,153
5,227
5,231
5,243
5,245
5,254
5,259
5,272
5,277
5,286
5,291
5,306
5,309
5,312
5,314
5,318
5,328
5,335
5,340
5,346
5,371
5,373
5,387
5,390
5,395
5,397
5,413
5,419
5,434
5,443
5,455
5,456
5,459
5,463
5,465
5,466
5,487
5,500
5,503
5,522
5,542
5,550
5,554
5,567
5,569
5,574
5,584
5,594
5,600
5,622
5,634
5,663
5,685
5,694
5,696
5,697
5,702
5,703
5,704
5,705
5,724
5,763
5,765
5,778
5,806
5,837
5,859
5,861
5,864
5,875
5,883
5,911
5,913
5,918
5,921
5,931
5,934
5,940
5,943
5,957
5,993
6,36
6,37
6,46
6,75
6,79
6,87
6,92
6,110
6,120
6,125
6,133
6,138
6,140
6,143
6,166
6,173
6,182
6,184
6,188
6,189
6,199
6,223
6,236
6,247
6,251
6,257
6,265
6,267
6,272
6,276
6,280
6,289
6,313
6,322
6,343
6,357
6,359
6,373
6,377
6,387
6,390
6,395
6,396
6,402
6,403
6,410
6,427
6,454
6,456
6,468
6,471
6,472
6,474
6,487
6,504
6,512
6,532
6,537
6,563
6,580
