x,y
37.71076785,1.776765282
68.31249379,84.8101288
62.2439501,54.26775833
15.05261071,7.95215359
16.84121654,40.03250153
21.00110707,75.9803694
15.67962718,85.14292829
59.30980408,99.18177161
64.87165562,42.28965052
20.26593184,71.40894447
80.6773708,25.4960231
86.65401151,62.46710347
1.888622742,67.95565604
27.3619013,3.350128995
6.685752652,59.5808641
20.96610295,4.660192856
4.962812835,72.89486918
49.32860885,18.99724103
3.964664203,21.27327608
54.02025619,96.84863905
64.18559809,81.30657088
16.23710542,70.67219333
45.42782199,11.06422664
85.89896629,28.99256352
95.24046352,81.9966115
96.19905997,79.03056695
98.96621651,71.27782988
85.8154594,2.822527693
