origem,destino
0,20
0,30
0,44
0,56
0,59
0,69
0,71
0,72
0,74
0,76
0,84
0,92
0,93
0,94
0,108
0,126
0,129
0,145
0,179
0,184
0,190
0,193
0,204
0,228
0,268
0,270
0,273
0,274
0,280
0,293
0,300
0,312
0,317
0,322
0,332
0,336
0,339
0,341
0,345
0,351
0,373
0,383
0,398
0,407
0,416
0,417
0,422
0,424
0,427
0,440
0,454
0,466
0,478
0,480
0,498
0,534
0,544
0,548
0,562
0,573
0,592
0,593
0,609
0,612
0,618
0,654
0,660
0,667
0,679
0,681
0,684
0,688
0,689
0,692
0,701
0,705
0,714
0,726
0,728
0,736
0,745
0,753
0,754
0,765
0,785
0,791
0,800
0,817
0,840
0,841
0,864
0,867
0,873
0,884
0,897
0,909
0,914
0,925
0,937
0,940
0,941
0,969
0,986
1,10
1,16
1,25
1,34
1,39
1,49
1,55
1,56
1,62
1,73
1,80
1,86
1,112
1,137
1,163
1,167
1,173
1,174
1,179
1,212
1,214
1,235
1,238
1,240
1,265
1,284
1,292
1,296
1,298
1,301
1,345
1,347
1,350
1,364
1,367
1,382
1,384
1,404
1,405
1,408
1,409
1,417
1,421
1,433
1,439
1,446
1,448
1,461
1,465
1,474
1,483
1,485
1,487
1,494
1,496
1,498
1,511
1,514
1,517
1,526
1,540
1,544
1,555
1,558
1,564
1,569
1,587
1,589
1,609
1,610
1,613
1,616
1,645
1,671
1,674
1,693
1,724
1,725
1,730
1,743
1,747
1,756
1,760
1,762
1,767
1,774
1,784
1,798
1,818
1,825
1,853
1,862
1,864
1,877
1,884
1,894
1,918
1,925
1,928
1,935
1,947
1,954
1,956
1,960
1,962
1,963
1,966
1,971
1,983
1,992
2,5
2,15
2,26
2,30
2,51
2,54
2,74
2,77
2,86
2,87
2,101
2,126
2,153
2,178
2,197
2,201
2,207
2,212
2,220
2,221
2,229
2,266
2,273
2,288
2,326
2,330
2,346
2,363
2,372
2,383
2,387
2,412
2,416
2,426
2,428
2,449
2,454
2,465
2,469
2,471
2,473
2,482
2,485
2,493
2,495
2,499
2,505
2,516
2,523
2,534
2,556
2,562
2,563
2,589
2,594
2,613
2,614
2,618
2,623
2,634
2,638
2,642
2,645
2,648
2,677
2,678
2,679
2,709
2,714
2,739
2,751
2,761
2,763
2,765
2,769
2,773
2,776
2,780
2,781
2,806
2,807
2,809
2,815
2,821
2,833
2,849
2,855
2,856
2,858
2,865
2,866
2,867
2,869
2,885
2,889
2,904
2,912
2,934
2,935
2,939
2,942
2,950
2,957
2,960
2,975
2,977
2,978
2,990
3,4
3,8
3,9
3,18
3,23
3,39
3,40
3,48
3,67
3,73
3,93
3,98
3,99
3,105
3,111
3,117
3,133
3,134
3,146
3,155
3,159
3,212
3,216
3,231
3,235
3,240
3,244
3,249
3,251
3,255
3,258
3,262
3,263
3,276
3,288
3,300
3,302
3,312
3,322
3,332
3,337
3,340
3,341
3,343
3,354
3,356
3,357
3,369
3,390
3,397
3,407
3,408
3,427
3,433
3,436
3,444
3,445
3,471
3,481
3,483
3,491
3,515
3,516
3,534
3,543
3,568
3,570
3,597
3,603
3,612
3,615
3,650
3,659
3,666
3,680
3,690
3,707
3,722
3,740
3,745
3,753
3,759
3,767
3,773
