27	0,42736	1,42737	2,42592	3,42590	4,42776	5,42809	6,42780	7,42594	8,42740	9,42745	10,42810	11,42790	12,42596	13,42748	14,42749	15,42751	16,42753	17,42754	18,42750	19,42759	20,42760	21,42764	22,42769	23,42770	24,42807	25,42772	26,42741	
15	6º ANO A	6º ANO B	6º ANO C	6º ANO D	6º ANO E	7º ANO A	7º ANO B	8º SºRIE F	8º SºRIE G	8º ANO A	8º ANO B	8º ANO C	8º ANO D	8º ANO E	8º ANO F	
5	6
i	0	0	4
i	0	0	6
i	0	0	10
i	0	0	11
i	0	0	12
i	0	0	14
i	0	0	16
i	0	0	19
i	0	0	23
i	0	0	24
i	0	0	26
i	0	1	4
i	0	1	6
i	0	1	10
i	0	1	11
i	0	1	12
i	0	1	14
i	0	1	16
i	0	1	19
i	0	1	23
i	0	1	24
i	0	1	26
i	0	2	4
i	0	2	6
i	0	2	9
i	0	2	10
i	0	2	11
i	0	2	12
i	0	2	14
i	0	2	16
i	0	2	18
i	0	2	19
i	0	2	23
i	0	2	24
i	0	3	6
i	0	3	9
i	0	3	10
i	0	3	11
i	0	3	12
i	0	3	14
i	0	3	16
i	0	3	18
i	0	3	19
i	0	3	23
i	0	3	24
i	0	4	6
i	0	4	9
i	0	4	10
i	0	4	11
i	0	4	12
i	0	4	14
i	0	4	16
i	0	4	18
i	0	4	19
i	0	4	23
i	0	4	24
i	0	5	6
i	0	5	9
i	0	5	10
i	0	5	11
i	0	5	12
i	0	5	14
i	0	5	16
i	0	5	18
i	0	5	19
i	0	5	23
i	0	5	24
i	1	0	4
i	1	0	7
i	1	0	9
i	1	0	14
i	1	0	19
i	1	0	20
i	1	0	22
i	1	0	23
i	1	0	25
i	1	0	26
i	1	1	4
i	1	1	7
i	1	1	9
i	1	1	14
i	1	1	19
i	1	1	20
i	1	1	22
i	1	1	23
i	1	1	25
i	1	1	26
i	1	2	4
i	1	2	6
i	1	2	7
i	1	2	9
i	1	2	19
i	1	2	20
i	1	2	22
i	1	2	25
i	1	3	6
i	1	3	7
i	1	3	9
i	1	3	19
i	1	3	20
i	1	3	22
i	1	3	25
i	1	4	6
i	1	4	7
i	1	4	9
i	1	4	10
i	1	4	17
i	1	4	18
i	1	4	19
i	1	4	20
i	1	4	22
i	1	4	23
i	1	4	24
i	1	4	25
i	1	5	6
i	1	5	7
i	1	5	9
i	1	5	10
i	1	5	17
i	1	5	18
i	1	5	19
i	1	5	20
i	1	5	22
i	1	5	23
i	1	5	24
i	1	5	25
